Model Name,Accuracy,Recall,Precision,F1 Score,Mse,RMSE
Gradient Boosting Classifier,0.7031936127744511,0.7031936127744511,0.703591948539378,0.7032347411605535,0.4674650698602794,0.6837141726337691
decision tree,0.7013972055888223,0.7013972055888223,0.7022055821674996,0.7017923876656663,0.4530938123752495,0.6731224349070899
knn classifier,0.7522954091816367,0.7522954091816367,0.7459909824689869,0.7482210618115245,0.37405189620758483,0.6115978222717808
Random Forest,0.7714570858283433,0.7714570858283433,0.7642872396438671,0.7660488481652942,0.34530938123752497,0.5876303100058106
