Date,"Laboratory confirmed, since the beginning of the pandemic TOTAL","Laboratory confirmed, since the beginning of the pandemic Difference from","Laboratory confirmed, since the beginning of the pandemic Hospitalized","Laboratory confirmed, since the beginning of the pandemic Deceased","Laboratory confirmed, since the beginning of the pandemic RecoveredA","Laboratory confirmed, since the beginning of the pandemic Current CasesB","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,+USAFD","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,<20 Jahre","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,20-59 JahreE","Reported, the last 7 days,Incidence per 100, Incidence per 100 ,>=60 Jahre"
11/11/2022,1660258,1023,32473,6505.5,1603451,48884,7071.95,7058.9,3891.5,8588
11/12/2022,0,0,0,0,0,0,0,0,0,0
11/13/2022,0,0,0,0,0,0,0,0,0,0
11/14/2022,1668021,1998,32722,6465,1625022,36534,6421.2,6349.5,3755.6,7839.9
11/15/2022,1669937,1916,32792,6472,1625308,38157,6333.8,6261.6,3840.5,7678.6
11/16/2022,1668102,1825,32714,6530.5,1619829,40325,6518.75,6501.8,4079.7,7862.3
11/17/2022,1672898,1163,32914,6495,1630531,35872,6447,6369.8,4265.7,7723.5
11/18/2022,1674177,1279,32952,6509,1634243,33425,6676.1,6591,4522.2,8048.3
11/19/2022,0,0,0,0,0,0,0,0,0,0
11/20/2022,0,0,0,0,0,0,0,0,0,0
11/21/2022,1676198,2021,33039,6519,1641855,27824,6269.2,6188.2,4163.9,7585.5
11/22/2022,1677962,1764,33105,6527,1642065,29370,6279.3,6204.9,4037.6,7616.9
11/23/2022,1679502,1540,33159,6531,1642208,30763,6235.4,6163.5,3825.8,7665.2
11/24/2022,1680655,1153,33214,6532,1644955,29168,6146.1,6078.6,3533.9,7657.8
11/25/2022,1681599,944,33243,6539,1645369,29691,5919.7,5854.8,3271.9,7377.3
11/26/2022,0,0,0,0,0,0,0,0,0,0
11/27/2022,0,0,0,0,0,0,0,0,0,0
11/28/2022,1683309,1710,33333,6542,1652218,24549,5433.3,5375.6,2794.9,6768.7
11/29/2022,1684556,1247,33388,6547,1652338,25671,5098.9,5049.2,2455.5,6423
11/30/2022,1685638,1082,33461,6552,1652491,26595,4816.4,4768.2,2192.5,6074.2
12/1/2022,1686601,963,33515,6557,1655004,25040,4737,4689.1,2117.6,5945.5
12/2/2022,1687538,937,33598,6561,1656773,24204,4784.8,4734.8,2050.4,6002.1
12/3/2022,0,0,0,0,0,0,0,0,0,0
12/4/2022,0,0,0,0,0,0,0,0,0,0
12/5/2022,1689201,1663,33684,6563,1660641,21997,4631.9,4582.7,1764.3,5739.6
12/6/2022,1690500,1299,33750,6564,1660754,23182,4656.9,4609.4,1714.1,5801.2
12/7/2022,1691977,1477,33819,6583,1660865,24529,5053,5000.2,1819.8,6210.6
12/8/2022,1694317,2340,33914,6586,1663082,24649,5190.6,5137.7,1727,6401.5
12/9/2022,1697577,3260,33951,6581,1666734,24262,5558.8,5506,1807.7,6925.1
12/10/2022,0,0,0,0,0,0,0,0,0,0
12/11/2022,0,0,0,0,0,0,0,0,0,0
12/12/2022,1699322,1745,34063,6585,1670839,21898,5468.3,5414.5,1714.5,6815.7
12/13/2022,1700907,1585,34149,6588,1671096,23223,5512.5,5462.3,1738.6,6868.7
12/14/2022,1702657,1750,34239,6593,1671226,24838,6060.3,6000.4,1908.7,7545.9
12/15/2022,1704263,1606,34352,6595,1673428,24240,6513,6449.7,1973.3,8175.6
12/16/2022,1705517,1254,34432,6602,1675095,23820,6582.5,6512.2,1972.7,8290.4
12/17/2022,0,0,0,0,0,0,0,0,0,0
12/18/2022,0,0,0,0,0,0,0,0,0,0
12/19/2022,1707293,1776,34512,6612,1678727,21954,6317.1,6245.1,1839.2,7944.4
12/20/2022,1709499,2206,34704,6616,1678840,24043,6718.4,6645,1894.7,8343.1
12/21/2022,1711530,2031,34821,6619,1678920,25991,7087.5,7012.1,1951.9,8866.6
12/22/2022,1713067,1537,34922,6627,1680721,25719,7296.9,7221.7,1976.9,9003
12/23/2022,1714829,1762,35008,6626,1682034,26169,7772.7,7691.6,2001.9,9595.7
12/24/2022,0,0,0,0,0,0,0,0,0,0
12/25/2022,0,0,0,0,0,0,0,0,0,0
12/26/2022,0,0,0,0,0,0,0,0,0,0
12/27/2022,1716870,2041,35192,6630,1685287,24953,5731.3,5678.8,1281.5,6971
12/28/2022,1718454,1584,35280,6642,1685382,26430,5482.9,5442.8,1243.8,6671.7
12/29/2022,1719572,1118,35315,6644,1687064,25864,5054.9,5023.9,1047,6240
12/30/2022,1720432,860,35368,6650,1688626,25156,4571.1,4551.4,883,5667.6
12/31/2022,0,0,0,0,0,0,0,0,0,0
1/1/2023,0,0,0,0,0,0,0,0,0,0
1/2/2023,1722260,1828,35524,6657,1692178,23425,5605.7,5559.5,1178.5,6841.2
1/3/2023,1724935,2675,35696,6684,1692334,25917,6438.2,6345.5,1407.9,7908.1
1/4/2023,1726586,1651,35802,6693,1692486,27407,6526.7,6422.6,1554.9,7919.9
1/5/2023,1728052,1466,35895,6702,1694342,27008,6800.7,6692.2,1689.1,8119.6
1/6/2023,1729113,1061,35969,6709,1696113,26291,7146.1,7033.9,1844,8503.8
1/7/2023,0,0,0,0,0,0,0,0,0,0
1/8/2023,0,0,0,0,0,0,0,0,0,0
1/9/2023,1730238,1125,36043,6716,1700180,23342,5691.3,5627.2,1547.8,6748.8
1/10/2023,1731507,1269,36175,6734,1700451,24322,4828.7,4781.6,1449.5,5651.1
1/11/2023,1732322,815,36238,6738,1700575,25009,4270.8,4227.9,1400.6,4831.3
1/12/2023,1732837,515,36276,6745,1702665,23427,3692.1,3657.1,1318.5,4170.8
1/13/2023,1733443,606,36356,6753,1704492,22198,3466.3,3431.4,1334.5,3913.7
1/14/2023,0,0,0,0,0,0,0,0,0,0
1/15/2023,0,0,0,0,0,0,0,0,0,0
1/16/2023,1734176,733,36424,6755,1709299,18122,2896.3,2864.4,1241.2,3223.5
1/17/2023,1734868,692,36504,6761,1709589,18518,2695.6,2667.1,1309.3,2981.6
1/18/2023,1735438,570,36544,6764,1709699,18975,2538,2513.2,1256.6,2934.3
1/19/2023,1735944,506,36616,6772,1710003,19169,2403.6,2372.3,1181.6,2850.1
1/20/2023,1736455,511,36672,6779,1711746,17930,2494.9,2464,1215.5,2997.5
1/21/2023,0,0,0,0,0,0,0,0,0,0
1/22/2023,0,0,0,0,0,0,0,0,0,0
1/23/2023,1736455,511,36672,6779,1711746,17930,2494.9,2464,1215.5,2997.5
1/24/2023,1737779,680,36846,6792,1714877,16110,2316.9,2288.8,918.2,2767.9
1/25/2023,1738440,661,36915,6796,1714955,16689,2398.3,2369.9,905.9,2893.7
1/26/2023,1738933,493,36969,6800,1717397,14736,2424.9,2395.1,955.9,2926.1
1/27/2023,1739433,500,37024,6804,1719624,13005,2513.9,2480.1,988.5,3051.7
1/28/2023,0,0,0,0,0,0,0,0,0,0
1/29/2023,0,0,0,0,0,0,0,0,0,0
1/30/2023,1740215,782,37084,6809,1723119,10287,2533.2,2502,1048.3,3140.9
1/31/2023,1741170,955,37163,6825,1723193,11152,2698.7,2663.5,1282.7,3418.1
2/1/2023,1741854,684,37220,6829,1723253,11772,2787.1,2749.7,1275.3,3565.7
